architecture,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr
BM25-only (within pool),0.19255250000000002,0.32785250000000005,0.3832858333333334,0.4570175,0.2041,0.27577004705962216,0.29892781006504726,0.3235239431320356,0.3052118875140523
Dense-only (within pool),0.10751666666666668,0.18998333333333334,0.243775,0.3159416666666666,0.1092,0.15583243472311864,0.1784119512050608,0.20217675792143294,0.1882422096495393
Case-precedent-kNN-only (within pool),0.5578549999999999,0.7449941666666666,0.8073075,0.8671708333333334,0.5835,0.6799261024098275,0.706419417598402,0.726869287585842,0.6878391291574886
"Logistic regression (pointwise, all features)",0.5314999999999999,0.714435,0.7829025,0.8613491666666667,0.5567,0.6504942716244574,0.6795496036446516,0.7059478297875081,0.66452629966815
LightGBM LambdaRank L2 (all features),0.6382633333333333,0.80795,0.8569908333333333,0.9053208333333332,0.6693,0.750500300953715,0.771822411598048,0.788571202038366,0.759213860286421
